Transecta-punto,Fecha_muestreo,Fecha,Transecta,Bosque,Pastoreo,Repet,puntotransecta,CA_Broza,CA_SD,CA_Mono,CA_Dico,CA_Crasa,CB_Broza,CB_SD,CB_Mono,CB_Dico,CB_Crasa,Hum_vol,mm,DAP,Hum_grav,Cob,FAPARdir,FAPARdif,IPAR,IPAR_COB
2018-08BA CL 7(P1)7,07/29/2018,2018-08,BA CL 7(P1),Bosque Alto,Clausura,1,7,48%,5%,48%,0%,0%,80%,12%,6%,2%,0%,9.8%,15,1.0371,9.4%,0.371,0.56,0.54,,0.729394602479942
2018-08BA CL 7(P1)8,07/29/2018,2018-08,BA CL 7(P1),Bosque Alto,Clausura,1,8,48%,5%,48%,0%,0%,82%,0%,18%,0%,0%,9.0%,14,1.0371,8.7%,0.366,0.56,0.54,,0.732064421669107
2018-08BA CL 7(P1)9,07/29/2018,2018-08,BA CL 7(P1),Bosque Alto,Clausura,1,9,71%,24%,5%,0%,0%,74%,20%,6%,0%,0%,10.4%,16,1.0371,10.0%,0.369,0.56,0.54,,0.730460189919649
2018-08BA CL 7(P1)10,07/29/2018,2018-08,BA CL 7(P1),Bosque Alto,Clausura,1,10,48%,0%,48%,5%,0%,86%,0%,8%,6%,0%,9.3%,14,1.0371,9.0%,0.627,0.56,0.54,,0.614628149969269
2018-08BA CL 7(P1)11,07/29/2018,2018-08,BA CL 7(P1),Bosque Alto,Clausura,1,11,68%,0%,23%,5%,5%,84%,0%,4%,8%,4%,8.2%,12,1.0371,7.9%,0.677,0.56,0.54,,0.596302921884317
2018-08BA CL 711,07/29/2018,2018-08,BA CL 71,Bosque Alto,Clausura,2,1,68%,23%,5%,5%,0%,80%,8%,10%,2%,0%,2.1%,3,1.0371,2.0%,0.397,0.53,0.53,,0.715819613457409
2018-08BA CL 712,07/29/2018,2018-08,BA CL 71,Bosque Alto,Clausura,2,2,5%,95%,0%,0%,0%,0%,100%,0%,0%,0%,5.2%,8,1.0371,5.0%,0.001,0.53,0.53,,0.999000999000999
2018-08BA CL 713,07/29/2018,2018-08,BA CL 71,Bosque Alto,Clausura,2,3,5%,95%,0%,0%,0%,20%,80%,0%,0%,0%,5.0%,8,1.0371,4.8%,0.182,0.53,0.53,,0.846023688663283
2018-08BA CL 714,07/29/2018,2018-08,BA CL 71,Bosque Alto,Clausura,2,4,48%,48%,5%,0%,0%,40%,44%,16%,0%,0%,5.9%,9,1.0371,5.7%,0.556,0.53,0.53,,0.6426735218509
2018-08BA CL 715,07/29/2018,2018-08,BA CL 71,Bosque Alto,Clausura,2,5,25%,50%,25%,0%,0%,20%,74%,6%,0%,0%,3.4%,5,1.0371,3.3%,0.687,0.53,0.53,,0.592768227622999
2018-08BA CL 716,07/29/2018,2018-08,BA CL 71,Bosque Alto,Clausura,2,6,48%,24%,24%,5%,0%,54%,16%,26%,4%,0%,2.5%,4,1.0371,2.4%,0.856,0.53,0.53,,0.538793103448276
2018-08BA CL 717,07/29/2018,2018-08,BA CL 71,Bosque Alto,Clausura,2,7,71%,0%,24%,5%,0%,88%,0%,10%,2%,0%,2.3%,3,1.0371,2.2%,0.749,0.53,0.53,,0.571755288736421
2018-08BA CL 718,07/29/2018,2018-08,BA CL 71,Bosque Alto,Clausura,2,8,71%,0%,24%,5%,0%,78%,0%,18%,4%,0%,1.9%,3,1.0371,1.8%,0.768,0.53,0.53,,0.565610859728507
2018-08BA CL 719,07/29/2018,2018-08,BA CL 71,Bosque Alto,Clausura,2,9,75%,0%,25%,0%,0%,88%,0%,12%,0%,0%,2.7%,4,1.0371,2.6%,0.684,0.53,0.53,,0.593824228028504
2018-08BA CL 7110,07/29/2018,2018-08,BA CL 71,Bosque Alto,Clausura,2,10,71%,0%,24%,5%,0%,84%,0%,12%,4%,0%,2.5%,4,1.0371,2.4%,0.604,0.53,0.53,,0.623441396508728
2018-08BA CL 7111,07/29/2018,2018-08,BA CL 71,Bosque Alto,Clausura,2,11,75%,0%,0%,0%,25%,88%,0%,0%,0%,12%,3.2%,5,1.0371,3.1%,0.37,0.53,0.53,,0.72992700729927
2018-08BA CO 11,07/29/2018,2018-08,BA CO 1,Bosque Alto,Continuo,1,1,25%,75%,0%,0%,0%,40%,60%,0%,0%,0%,6.2%,9,1.1496,5.4%,0.299,0.41,0.44,,0.769822940723634
2018-08BA CO 12,07/29/2018,2018-08,BA CO 1,Bosque Alto,Continuo,1,2,38%,38%,4%,19%,0%,60%,36%,0%,4%,0%,5.2%,8,1.1496,4.5%,0.32,0.41,0.44,,0.757575757575758
2018-08BA CO 13,07/29/2018,2018-08,BA CO 1,Bosque Alto,Continuo,1,3,25%,25%,50%,0%,0%,56%,30%,14%,0%,0%,5.7%,9,1.1496,5.0%,0.495,0.41,0.44,,0.668896321070234
2018-08BA CO 14,07/29/2018,2018-08,BA CO 1,Bosque Alto,Continuo,1,4,71%,5%,24%,0%,0%,72%,12%,16%,0%,0%,5.2%,8,1.1496,4.5%,0.543,0.41,0.44,,0.648088139987038
2018-08BA CO 15,07/29/2018,2018-08,BA CO 1,Bosque Alto,Continuo,1,5,60%,0%,20%,20%,0%,86%,0%,14%,0%,0%,4.8%,7,1.1496,4.2%,0.557,0.41,0.44,,0.642260757867694
2018-08BA CO 16,07/29/2018,2018-08,BA CO 1,Bosque Alto,Continuo,1,6,48%,0%,0%,48%,5%,86%,0%,0%,8%,6%,4.3%,6,1.1496,3.7%,0.428,0.41,0.44,,0.700280112044818
2018-08BA CO 17,07/29/2018,2018-08,BA CO 1,Bosque Alto,Continuo,1,7,48%,0%,48%,0%,5%,86%,0%,6%,8%,0%,7.1%,11,1.1496,6.2%,0.656,0.41,0.44,,0.603864734299517
2018-08BA CO 18,07/29/2018,2018-08,BA CO 1,Bosque Alto,Continuo,1,8,50%,0%,50%,0%,0%,76%,0%,24%,0%,0%,5.3%,8,1.1496,4.6%,0.561,0.41,0.44,,0.640614990390775
2018-08BA CO 19,07/29/2018,2018-08,BA CO 1,Bosque Alto,Continuo,1,9,48%,5%,48%,0%,0%,66%,10%,24%,0%,0%,3.5%,5,1.1496,3.0%,0.434,0.41,0.44,,0.697350069735007
2018-08BA CO 110,07/29/2018,2018-08,BA CO 1,Bosque Alto,Continuo,1,10,50%,25%,25%,0%,0%,84%,0%,16%,0%,0%,5.8%,9,1.1496,5.0%,0.461,0.41,0.44,,0.684462696783025
2018-08BA CO 111,07/29/2018,2018-08,BA CO 1,Bosque Alto,Continuo,1,11,24%,0%,71%,5%,0%,76%,0%,24%,0%,0%,5.9%,9,1.1496,5.1%,0.445,0.41,0.44,,0.692041522491349
2018-08BA CO 21,07/29/2018,2018-08,BA CO 2,Bosque Alto,Continuo,2,1,50%,23%,25%,2%,0%,66%,20%,14%,0%,0%,6.1%,9,1.1496,5.3%,0.648,0.61,0.57,,0.606796116504854
2018-08BA CO 22,07/29/2018,2018-08,BA CO 2,Bosque Alto,Continuo,2,2,5%,90%,5%,0%,0%,10%,88%,2%,0%,0%,8.6%,13,1.1496,7.5%,0.472,0.61,0.57,,0.679347826086957
2018-08BA CO 23,07/29/2018,2018-08,BA CO 2,Bosque Alto,Continuo,2,3,25%,50%,25%,0%,0%,20%,72%,8%,0%,0%,7.1%,11,1.1496,6.2%,0.014,0.61,0.57,,0.986193293885602
2018-08BA CO 24,07/29/2018,2018-08,BA CO 2,Bosque Alto,Continuo,2,4,24%,71%,5%,0%,0%,10%,82%,8%,0%,0%,14.5%,22,1.1496,12.6%,0.135,0.61,0.57,,0.881057268722467
2018-08BA CO 25,07/29/2018,2018-08,BA CO 2,Bosque Alto,Continuo,2,5,50%,25%,25%,0%,0%,82%,0%,18%,0%,0%,7.6%,11,1.1496,6.6%,0.224,0.61,0.57,,0.816993464052288
2018-08BA CO 26,07/29/2018,2018-08,BA CO 2,Bosque Alto,Continuo,2,6,48%,24%,24%,5%,0%,68%,0%,22%,10%,0%,4.8%,7,1.1496,4.2%,0.397,0.61,0.57,,0.715819613457409
2018-08BA CO 27,07/29/2018,2018-08,BA CO 2,Bosque Alto,Continuo,2,7,25%,50%,25%,0%,0%,30%,58%,12%,0%,0%,7.4%,11,1.1496,6.4%,0.522,0.61,0.57,,0.657030223390276
2018-08BA CO 28,07/29/2018,2018-08,BA CO 2,Bosque Alto,Continuo,2,8,25%,0%,75%,0%,0%,82%,0%,18%,0%,0%,7.2%,11,1.1496,6.3%,0.517,0.61,0.57,,0.659195781147001
2018-08BA CO 29,07/29/2018,2018-08,BA CO 2,Bosque Alto,Continuo,2,9,48%,24%,24%,5%,0%,40%,42%,18%,0%,0%,7.3%,11,1.1496,6.3%,0.439,0.61,0.57,,0.694927032661571
2018-08BA CO 210,07/29/2018,2018-08,BA CO 2,Bosque Alto,Continuo,2,10,50%,25%,25%,0%,0%,68%,20%,12%,0%,0%,3.1%,5,1.1496,2.7%,0.469,0.61,0.57,,0.68073519400953
2018-08BA CO 211,07/29/2018,2018-08,BA CO 2,Bosque Alto,Continuo,2,11,20%,60%,20%,0%,0%,20%,62%,18%,0%,0%,0.0%,0,1.1496,0.0%,0.554,0.61,0.57,,0.643500643500644
2018-08BB CL 26bis1,07/31/2018,2018-08,BB CL 26bis,Bosque Bajo,Clausura,1,1,68%,23%,5%,5%,0%,68%,30%,0%,2%,0%,10.0%,15,1.1231,8.9%,0.603,0.74,0.68,,0.623830318153462
2018-08BB CL 26bis2,07/31/2018,2018-08,BB CL 26bis,Bosque Bajo,Clausura,1,2,25%,75%,0%,0%,0%,0%,100%,0%,0%,0%,9.0%,14,1.1231,8.0%,0.596,0.74,0.68,,0.6265664160401
2018-08BB CL 26bis3,07/31/2018,2018-08,BB CL 26bis,Bosque Bajo,Clausura,1,3,100%,0%,0%,0%,0%,100%,0%,0%,0%,0%,11.0%,17,1.1231,9.8%,0.587,0.74,0.68,,0.630119722747322
2018-08BB CL 26bis4,07/31/2018,2018-08,BB CL 26bis,Bosque Bajo,Clausura,1,4,25%,75%,0%,0%,0%,20%,80%,0%,0%,0%,10.8%,16,1.1231,9.6%,0.594,0.74,0.68,,0.627352572145546
2018-08BB CL 26bis5,07/31/2018,2018-08,BB CL 26bis,Bosque Bajo,Clausura,1,5,76%,20%,0%,4%,0%,78%,20%,0%,2%,0%,9.9%,15,1.1231,8.8%,0.456,0.74,0.68,,0.686813186813187
2018-08BB CL 26bis6,07/31/2018,2018-08,BB CL 26bis,Bosque Bajo,Clausura,1,6,25%,75%,0%,0%,0%,40%,60%,0%,0%,0%,12.2%,18,1.1231,10.9%,0.511,0.74,0.68,,0.661813368630046
2018-08BB CL 26bis7,07/31/2018,2018-08,BB CL 26bis,Bosque Bajo,Clausura,1,7,95%,0%,0%,5%,0%,100%,0%,0%,0%,0%,7.7%,12,1.1231,6.9%,0.399,0.74,0.68,,0.714796283059328
2018-08BB CL 26bis8,07/31/2018,2018-08,BB CL 26bis,Bosque Bajo,Clausura,1,8,95%,0%,0%,5%,0%,100%,0%,0%,0%,0%,8.6%,13,1.1231,7.7%,0.315,0.74,0.68,,0.760456273764259
2018-08BB CL 26bis9,07/31/2018,2018-08,BB CL 26bis,Bosque Bajo,Clausura,1,9,95%,0%,0%,5%,0%,94%,0%,0%,6%,0%,8.4%,13,1.1231,7.5%,0.485,0.74,0.68,,0.673400673400673
2018-08BB CL 26bis10,07/31/2018,2018-08,BB CL 26bis,Bosque Bajo,Clausura,1,10,90%,5%,0%,5%,0%,74%,20%,0%,6%,0%,7.1%,11,1.1231,6.3%,0.421,0.74,0.68,,0.703729767769177
2018-08BB CL 26bis11,07/31/2018,2018-08,BB CL 26bis,Bosque Bajo,Clausura,1,11,95%,0%,0%,5%,0%,88%,0%,0%,12%,0%,8.5%,13,1.1231,7.6%,0.638,0.74,0.68,,0.610500610500611
2018-08BB CL 102bis1,07/31/2018,2018-08,BB CL 102bis,Bosque Bajo,Clausura,2,1,75%,0%,25%,0%,0%,82%,0%,18%,0%,0%,0.5%,1,1.1231,0.4%,0.432,0.66,0.59,,0.698324022346369
2018-08BB CL 102bis2,07/31/2018,2018-08,BB CL 102bis,Bosque Bajo,Clausura,2,2,71%,0%,24%,5%,0%,74%,0%,24%,2%,0%,0.3%,0,1.1231,0.3%,0.386,0.66,0.59,,0.721500721500721
2018-08BB CL 102bis3,07/31/2018,2018-08,BB CL 102bis,Bosque Bajo,Clausura,2,3,71%,0%,24%,5%,0%,82%,0%,14%,4%,0%,0.9%,1,1.1231,0.8%,0.564,0.66,0.59,,0.639386189258312
2018-08BB CL 102bis4,07/31/2018,2018-08,BB CL 102bis,Bosque Bajo,Clausura,2,4,68%,23%,5%,5%,0%,74%,20%,4%,2%,0%,0.5%,1,1.1231,0.4%,0.266,0.66,0.59,,0.789889415481833
2018-08BB CL 102bis5,07/31/2018,2018-08,BB CL 102bis,Bosque Bajo,Clausura,2,5,75%,25%,0%,0%,0%,70%,30%,0%,0%,0%,1.6%,2,1.1231,1.4%,0.231,0.66,0.59,,0.812347684809098
2018-08BB CL 102bis6,07/31/2018,2018-08,BB CL 102bis,Bosque Bajo,Clausura,2,6,71%,24%,0%,5%,0%,76%,20%,0%,4%,0%,1.4%,2,1.1231,1.2%,0.273,0.66,0.59,,0.785545954438335
2018-08BB CL 102bis7,07/31/2018,2018-08,BB CL 102bis,Bosque Bajo,Clausura,2,7,95%,5%,0%,0%,0%,100%,0%,0%,0%,0%,0.8%,1,1.1231,0.7%,0.662,0.66,0.59,,0.601684717208183
2018-08BB CL 102bis8,07/31/2018,2018-08,BB CL 102bis,Bosque Bajo,Clausura,2,8,95%,0%,0%,5%,0%,96%,0%,0%,4%,0%,1.8%,3,1.1231,1.6%,0.309,0.66,0.59,,0.763941940412529
2018-08BB CL 102bis9,07/31/2018,2018-08,BB CL 102bis,Bosque Bajo,Clausura,2,9,95%,0%,0%,5%,0%,92%,0%,0%,8%,0%,1.9%,3,1.1231,1.7%,0.46,0.66,0.59,,0.684931506849315
2018-08BB CL 102bis10,07/31/2018,2018-08,BB CL 102bis,Bosque Bajo,Clausura,2,10,71%,24%,5%,0%,0%,100%,0%,0%,0%,0%,2.0%,3,1.1231,1.8%,0.346,0.66,0.59,,0.742942050520059
2018-08BB CL 102bis11,07/31/2018,2018-08,BB CL 102bis,Bosque Bajo,Clausura,2,11,45%,45%,5%,5%,0%,50%,38%,8%,4%,0%,2.5%,4,1.1231,2.2%,0.256,0.66,0.59,,0.796178343949045
2018-08BB CL NUEVA1,07/31/2018,2018-08,BB CL NUEVA,Bosque Bajo,Clausura,3,1,45%,45%,9%,0%,0%,58%,40%,2%,0%,0%,7.7%,12,1.1231,6.9%,0.574,0.63,0.60,,0.635324015247776
2018-08BB CL NUEVA2,07/31/2018,2018-08,BB CL NUEVA,Bosque Bajo,Clausura,3,2,95%,0%,0%,5%,0%,88%,0%,0%,12%,0%,8.6%,13,1.1231,7.7%,0.516,0.63,0.60,,0.659630606860158
2018-08BB CL NUEVA3,07/31/2018,2018-08,BB CL NUEVA,Bosque Bajo,Clausura,3,3,71%,24%,0%,5%,0%,0%,100%,0%,0%,0%,9.0%,14,1.1231,8.0%,0.251,0.63,0.60,,0.799360511590728
2018-08BB CL NUEVA4,07/31/2018,2018-08,BB CL NUEVA,Bosque Bajo,Clausura,3,4,83%,6%,6%,6%,0%,68%,10%,10%,12%,0%,9.4%,14,1.1231,8.4%,0.442,0.63,0.60,,0.693481276005548
2018-08BB CL NUEVA5,07/31/2018,2018-08,BB CL NUEVA,Bosque Bajo,Clausura,3,5,68%,5%,23%,5%,0%,56%,20%,24%,0%,0%,7.1%,11,1.1231,6.3%,0.487,0.63,0.60,,0.672494956287828
2018-08BB CL NUEVA6,07/31/2018,2018-08,BB CL NUEVA,Bosque Bajo,Clausura,3,6,86%,5%,5%,5%,0%,70%,10%,8%,12%,0%,7.9%,12,1.1231,7.0%,0.374,0.63,0.60,,0.727802037845706
2018-08BB CL NUEVA7,07/31/2018,2018-08,BB CL NUEVA,Bosque Bajo,Clausura,3,7,90%,0%,5%,5%,0%,78%,0%,10%,12%,0%,9.3%,14,1.1231,8.3%,0.413,0.63,0.60,,0.707714083510262
2018-08BB CL NUEVA8,07/31/2018,2018-08,BB CL NUEVA,Bosque Bajo,Clausura,3,8,90%,0%,5%,5%,0%,92%,0%,2%,6%,0%,10.0%,15,1.1231,8.9%,0.427,0.63,0.60,,0.700770847932726
2018-08BB CL NUEVA9,07/31/2018,2018-08,BB CL NUEVA,Bosque Bajo,Clausura,3,9,90%,0%,5%,5%,0%,82%,0%,6%,12%,0%,8.7%,13,1.1231,7.7%,0.53,0.63,0.60,,0.65359477124183
2018-08BB CL NUEVA10,07/31/2018,2018-08,BB CL NUEVA,Bosque Bajo,Clausura,3,10,90%,0%,5%,5%,0%,80%,0%,6%,14%,0%,9.0%,14,1.1231,8.0%,0.586,0.63,0.60,,0.630517023959647
2018-08BB CL NUEVA11,07/31/2018,2018-08,BB CL NUEVA,Bosque Bajo,Clausura,3,11,90%,0%,5%,5%,0%,92%,0%,2%,6%,0%,9.0%,14,1.1231,8.0%,0.449,0.63,0.60,,0.690131124913734
2018-08BB CO 11,07/31/2018,2018-08,BB CO 1,Bosque Bajo,Continuo,1,1,24%,71%,0%,5%,0%,20%,76%,0%,4%,0%,2.2%,3,1.1825,1.9%,0.303,0.56,0.48,,0.767459708365311
2018-08BB CO 12,07/31/2018,2018-08,BB CO 1,Bosque Bajo,Continuo,1,2,25%,75%,0%,0%,0%,20%,80%,0%,0%,0%,2.3%,3,1.1825,1.9%,0.329,0.56,0.48,,0.752445447705041
2018-08BB CO 13,07/31/2018,2018-08,BB CO 1,Bosque Bajo,Continuo,1,3,25%,75%,0%,0%,0%,20%,80%,0%,0%,0%,4.2%,6,1.1825,3.6%,0.186,0.56,0.48,,0.843170320404722
2018-08BB CO 14,07/31/2018,2018-08,BB CO 1,Bosque Bajo,Continuo,1,4,75%,25%,0%,0%,0%,80%,20%,0%,0%,0%,2.4%,4,1.1825,2.0%,0.218,0.56,0.48,,0.821018062397373
2018-08BB CO 15,07/31/2018,2018-08,BB CO 1,Bosque Bajo,Continuo,1,5,95%,5%,0%,0%,0%,90%,10%,0%,0%,0%,2.9%,4,1.1825,2.5%,0.501,0.56,0.48,,0.666222518321119
2018-08BB CO 16,07/31/2018,2018-08,BB CO 1,Bosque Bajo,Continuo,1,6,90%,0%,5%,5%,0%,92%,0%,4%,4%,0%,0.7%,1,1.1825,0.6%,0.103,0.56,0.48,,0.906618313689937
2018-08BB CO 17,07/31/2018,2018-08,BB CO 1,Bosque Bajo,Continuo,1,7,50%,50%,0%,0%,0%,80%,20%,0%,0%,0%,2.6%,4,1.1825,2.2%,0.076,0.56,0.48,,0.929368029739777
2018-08BB CO 18,07/31/2018,2018-08,BB CO 1,Bosque Bajo,Continuo,1,8,71%,24%,0%,5%,0%,80%,14%,0%,6%,0%,0.8%,1,1.1825,0.7%,0.189,0.56,0.48,,0.841042893187553
2018-08BB CO 19,07/31/2018,2018-08,BB CO 1,Bosque Bajo,Continuo,1,9,83%,6%,6%,6%,0%,70%,20%,4%,6%,0%,1.1%,2,1.1825,0.9%,0.267,0.56,0.48,,0.789265982636148
2018-08BB CO 110,07/31/2018,2018-08,BB CO 1,Bosque Bajo,Continuo,1,10,48%,48%,0%,5%,0%,50%,40%,0%,10%,0%,1.5%,2,1.1825,1.3%,0.376,0.56,0.48,,0.726744186046512
2018-08BB CO 111,07/31/2018,2018-08,BB CO 1,Bosque Bajo,Continuo,1,11,50%,50%,0%,0%,0%,60%,40%,0%,0%,0%,1.8%,3,1.1825,1.5%,0.169,0.56,0.48,,0.855431993156544
2018-08BB CO 21,07/31/2018,2018-08,BB CO 2,Bosque Bajo,Continuo,2,1,58%,19%,4%,19%,0%,50%,30%,10%,10%,0%,2.3%,3,1.1825,1.9%,0.462,0.54,0.50,,0.683994528043776
2018-08BB CO 22,07/31/2018,2018-08,BB CO 2,Bosque Bajo,Continuo,2,2,23%,68%,5%,5%,0%,30%,60%,6%,4%,0%,0.5%,1,1.1825,0.4%,0.284,0.54,0.50,,0.778816199376947
2018-08BB CO 23,07/31/2018,2018-08,BB CO 2,Bosque Bajo,Continuo,2,3,25%,75%,0%,0%,0%,60%,40%,0%,0%,0%,1.5%,2,1.1825,1.3%,0.415,0.54,0.50,,0.706713780918728
2018-08BB CO 24,07/31/2018,2018-08,BB CO 2,Bosque Bajo,Continuo,2,4,71%,24%,0%,5%,0%,74%,20%,0%,6%,0%,1.1%,2,1.1825,0.9%,0.471,0.54,0.50,,0.679809653297077
2018-08BB CO 25,07/31/2018,2018-08,BB CO 2,Bosque Bajo,Continuo,2,5,90%,5%,0%,5%,0%,96%,0%,0%,4%,0%,1.8%,3,1.1825,1.5%,0.28,0.54,0.50,,0.78125
2018-08BB CO 26,07/31/2018,2018-08,BB CO 2,Bosque Bajo,Continuo,2,6,68%,23%,5%,5%,0%,90%,0%,2%,8%,0%,1.9%,3,1.1825,1.6%,0.313,0.54,0.50,,0.761614623000762
2018-08BB CO 27,07/31/2018,2018-08,BB CO 2,Bosque Bajo,Continuo,2,7,95%,0%,0%,5%,0%,94%,0%,0%,6%,0%,1.5%,2,1.1825,1.3%,0.542,0.54,0.50,,0.648508430609598
2018-08BB CO 28,07/31/2018,2018-08,BB CO 2,Bosque Bajo,Continuo,2,8,71%,24%,0%,5%,0%,98%,0%,0%,2%,0%,2.0%,3,1.1825,1.7%,0.544,0.54,0.50,,0.647668393782383
2018-08BB CO 29,07/31/2018,2018-08,BB CO 2,Bosque Bajo,Continuo,2,9,25%,75%,0%,0%,0%,10%,90%,0%,0%,0%,2.6%,4,1.1825,2.2%,0.2,0.54,0.50,,0.833333333333333
2018-08BB CO 210,07/31/2018,2018-08,BB CO 2,Bosque Bajo,Continuo,2,10,48%,48%,0%,5%,0%,60%,40%,0%,0%,0%,1.3%,2,1.1825,1.1%,0.526,0.54,0.50,,0.655307994757536
2018-08BB CO 211,07/31/2018,2018-08,BB CO 2,Bosque Bajo,Continuo,2,11,90%,5%,0%,5%,0%,86%,0%,0%,14%,0%,1.3%,2,1.1825,1.1%,0.407,0.54,0.50,,0.710732054015636
